id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
233;costa;8/2/2020;12:00;1;24.3;0.10;98;29.6;0.7;51;1012.4
234;oriente;8/2/2020;12:00;1;25.6;0.00;58;27.4;197.5;3;1015.4
235;sierra;9/2/2020;0:00;0;9.9;0.90;95;9.4;10.3;51;1020.4
236;costa;9/2/2020;0:00;0;26.6;7.30;85;31.3;188.3;55;1010.3
237;oriente;9/2/2020;0:00;0;20.3;1.40;95;23.6;8.2;51;1016.3
238;sierra;9/2/2020;12:00;1;13.4;2.20;99;12.8;261.5;51;1020.0
239;costa;9/2/2020;12:00;1;24.4;0.20;95;29.9;0.5;51;1012.5
240;oriente;9/2/2020;12:00;1;22.3;5.60;87;25.9;15.5;53;1017.0
241;sierra;10/2/2020;0:00;0;9.1;3.10;98;8.4;2.8;53;1021.1
242;costa;10/2/2020;0:00;0;26.9;0.80;84;31.3;245.2;51;1008.9
243;oriente;10/2/2020;0:00;0;20.0;0.70;97;23.1;7.7;51;1015.7
244;sierra;10/2/2020;12:00;1;8.6;6.80;90;6.6;2.2;55;1023.4
245;costa;10/2/2020;12:00;1;24.5;3.00;94;29.8;0.2;53;1010.5
246;oriente;10/2/2020;12:00;1;23.8;2.40;78;27.2;85.7;51;1016.4
247;sierra;11/2/2020;0:00;0;8.0;0.10;81;6.4;5.0;51;1021.9
248;costa;11/2/2020;0:00;0;25.7;4.40;95;31.9;110.7;53;1007.6
249;oriente;11/2/2020;0:00;0;19.6;0.00;74;20.3;14.3;1;1014.9
250;sierra;11/2/2020;12:00;1;12.0;0.00;74;10.3;326.0;3;1022.0
251;costa;11/2/2020;12:00;1;24.3;0.00;99;30.3;0.7;2;1009.4
252;oriente;11/2/2020;12:00;1;26.6;0.00;50;27.3;232.3;3;1015.6
253;sierra;12/2/2020;0:00;0;9.2;0.10;90;8.3;7.7;51;1020.6
254;costa;12/2/2020;0:00;0;26.8;3.40;90;33.1;160.7;53;1008.0
255;oriente;12/2/2020;0:00;0;19.8;0.00;75;20.6;15.2;1;1014.6
256;sierra;12/2/2020;12:00;1;12.2;1.50;84;11.3;243.8;51;1021.0
257;costa;12/2/2020;12:00;1;24.1;0.00;96;29.0;0.2;3;1010.4
258;oriente;12/2/2020;12:00;1;26.5;0.20;56;28.1;131.7;51;1014.6
259;sierra;13/2/2020;0:00;0;9.8;0.40;70;8.0;11.5;51;1019.1
260;costa;13/2/2020;0:00;0;26.6;1.40;84;31.9;190.2;51;1007.3
261;oriente;13/2/2020;0:00;0;19.7;0.00;89;21.6;12.5;1;1013.2
