id;velocidad_viento_10m;presion_superficie;temp_suelo_7cm;humedad_suelo_7cm;temp_suelo_250cm
6028;3.9;715.9;9.8;0.422;10.3
6029;4.9;1012.6;22.7;0.329;25.8
6030;2.1;896.1;21.4;0.429;21.3
6031;2.5;715.1;8.2;0.419;10.3
6032;14.1;1010.0;29.2;0.329;25.8
6033;6.4;895.1;19.7;0.402;21.3
6034;7.4;718.5;13.8;0.402;10.3
6035;1.9;1014.3;23.1;0.337;25.8
6036;6.4;897.5;22.3;0.390;21.3
6037;2.5;715.8;8.8;0.407;10.3
6038;10.8;1011.3;28.3;0.327;25.8
6039;5.8;893.9;19.7;0.366;21.3
6040;5.8;718.0;14.2;0.395;10.3
6041;5.5;1014.1;23.9;0.328;25.8
6042;7.4;896.2;23.8;0.359;21.3
6043;2.0;714.2;8.7;0.392;10.3
6044;12.6;1011.1;27.4;0.328;25.8
6045;5.7;891.9;20.7;0.347;21.3
6046;4.1;717.0;15.1;0.380;10.3
6047;4.7;1014.2;23.2;0.330;25.8
6048;7.9;894.6;23.6;0.354;21.3
6049;3.1;713.7;9.0;0.370;10.3
6050;12.3;1011.1;27.9;0.326;25.8
6051;2.9;890.7;20.7;0.341;21.3
6052;6.3;716.4;16.2;0.363;10.3
6053;2.7;1012.9;22.9;0.327;25.8
6054;2.6;894.0;23.9;0.343;21.3
6055;3.1;713.6;9.9;0.390;10.3
6056;13.0;1010.2;29.3;0.319;25.8
6057;3.7;893.0;20.2;0.386;21.3
6058;7.3;716.6;16.2;0.370;10.3
6059;0.4;1013.6;23.7;0.318;25.8
6060;4.3;894.3;22.5;0.383;21.3
6061;2.4;714.1;9.2;0.408;10.3
6062;9.7;1010.8;27.7;0.321;25.8
6063;2.3;892.9;20.5;0.395;21.3
6064;7.2;715.1;11.7;0.418;10.3
6065;5.5;1014.0;23.7;0.321;25.8
6066;1.5;893.9;22.6;0.410;21.3
6067;0.8;713.8;9.1;0.421;10.4
6068;10.8;1010.5;27.4;0.317;25.8
6069;3.4;891.6;20.3;0.411;21.3
6070;1.8;714.7;9.8;0.432;10.4
6071;5.2;1012.8;23.6;0.318;25.8
6072;1.1;894.2;20.9;0.427;21.3
6073;1.5;712.9;8.5;0.415;10.4
6074;15.7;1009.0;27.9;0.311;25.8
6075;3.6;891.3;18.7;0.411;21.3
6076;6.7;716.3;15.0;0.397;10.4
6077;1.9;1012.0;23.3;0.313;25.8
6078;3.6;894.3;23.6;0.400;21.3
6079;2.5;714.4;8.0;0.385;10.4
6080;11.9;1010.2;28.4;0.307;25.8
6081;4.6;894.2;20.7;0.409;21.3
6082;6.4;717.4;15.0;0.378;10.4
6083;4.1;1013.7;23.0;0.311;25.8
6084;4.4;895.7;24.3;0.383;21.3
6085;4.0;715.2;10.4;0.366;10.4
6086;15.0;1010.7;28.4;0.304;25.8
6087;5.2;893.2;20.8;0.367;21.3
6088;8.2;718.0;12.9;0.368;10.4
6089;5.4;1014.7;23.9;0.304;25.8
6090;2.9;896.9;23.7;0.387;21.3
6091;3.1;714.9;9.2;0.359;10.4
6092;13.3;1010.8;28.9;0.302;25.8
